Question,Answer,Explanation,Citation
RCT:t ovat aina parempia kuin havainnoivat tutkimukset syy-seuraussuhteiden arvioinnissa riippumatta tutkimuskysymyksestä. Chan et al. (2023),EPÄTOSI,"Vaikka RCT:t ovat kultainen standardi, niitä ei aina voida toteuttaa esimerkiksi eettisistä tai logistisista syistä riippuvuustutkimuksessa. (""RCTs are often not feasible for some fields or research questions, such as addiction epidemiology and policy evaluation, due to ethical... considerations."")","""RCTs are often not feasible for some fields or research questions, such as addiction epidemiology and policy evaluation, due to ethical, logistical, or practical considerations."""
"Potentiaalisten tulosten viitekehys perustuu ajatukseen, että yksilöllä on kaksi mahdollista lopputulosta: yksi altistuneena ja toinen ilman altistusta. Chan et al. (2023)",TOSI,"Rubinin kausaalimalli määrittelee kausaalivaikutuksen yksilöllä kahden potentiaalisen lopputuloksen erotuksena: altistuneena (Y1) ja ei-altistuneena (Y0). (""the outcome that would have been observed if the individual were exposed to treatment... and the outcome that would have been observed if the individual were not exposed"")","""the outcome that would have been observed if the individual were exposed to treatment... and the outcome that would have been observed if the individual were not exposed"""
Propensiteettipistematchingin avulla voidaan arvioida koko väestöön kohdistuva kausaalivaikutus (ATE). Chan et al. (2023),EPÄTOSI,"Yksinkertainen yksi-yhteen matching menetelmä tähtää keskimääräisen vaikutuksen arviointiin niille, jotka saivat hoidon (ATT). (""One-to-one matching is commonly used to estimate ATT."")","""One-to-one matching is commonly used to estimate ATT (average treatment effect on the treated)."""
Inverse probability treatment weighting -menetelmä käyttää propensiteettipisteitä luodakseen tasapainoisen pseudo-populaation. Chan et al. (2023),TOSI,"IPTW luo painotetun aineiston, jossa hoito- ja kontrolliryhmät ovat tasapainossa â€“ ns. pseudo-populaation. (""Weighted data can be thought of as a pseudo-population in which the only difference between groups is in whether they received treatment."")","""Weighted data can be thought of as a pseudo-population in which the only difference between groups is in whether they received treatment."""
Instrumenttimuuttujan tulee vaikuttaa suoraan sekä altistukseen että lopputulokseen. Chan et al. (2023),EPÄTOSI,"Instrumenttimuuttujan tulee vaikuttaa ainoastaan altistukseen eikä suoraan lopputulokseen. (""An instrumental variable is one that has (i) a direct causal impact on the exposure, (ii) no direct causal impact on the outcome"")","""An instrumental variable is one that has (i) a direct causal impact on the exposure, (ii) no direct causal impact on the outcome"""
"Instrumenttimuuttuja-analyysi voi tuottaa harhaisia tuloksia, jos instrumentti vaikuttaa suoraan lopputulokseen. Chan et al. (2023)",TOSI,Tämä rikkoo instrumentin riippumattomuusoletuksen ja johtaa harhaan meneviin kausaalipäätelmiin.,"""An instrumental variable is one that has ... (ii) no direct causal impact on the outcome"""
"Propensiteettipisteet voivat estimoida kausaalivaikutuksia tilanteissa, joissa satunnaistaminen ei ole mahdollista. Chan et al. (2023)",TOSI,Propensiteettipisteet auttavat tasapainottamaan havaintoryhmien välistä eroa epälineaarisissa ei-satunnaisissa asetelmissa.,"""Propensity scores are used to reduce bias in the estimation of treatment effects in observational studies..."""
Inverse probability weighting ei vaadi propensiteettipisteiden arviointia. Chan et al. (2023),EPÄTOSI,IPW perustuu propensiteettipisteiden käyttöön painojen laskemiseksi.,"""IPW uses the inverse of the propensity score as a weight for each individual..."""
"Potentiaalisten tulosten malli edellyttää, että jokaisella yksilöllä voi olla vain yksi mahdollinen lopputulos. Chan et al. (2023)",EPÄTOSI,"Mallin ydinidea on, että kullakin yksilöllä on kaksi potentiaalista lopputulosta: yksi altistuneena ja toinen ilman altistusta.","""each individual has two potential outcomes, one under treatment and one under control"""
Matching-menetelmä pyrkii vähentämään selektiivistä harhaa tasapainottamalla ryhmien havaittuja piirteitä. Chan et al. (2023),TOSI,Matching pyrkii luomaan vertailukelpoisia ryhmiä havaittujen muuttujien osalta.,"""Matching is used to ensure treated and untreated groups are similar in observed characteristics..."""
Logistinen regressio on yleinen keino propensiteettipisteiden arviointiin. Chan et al. (2023),TOSI,Logistinen malli on yleisesti käytetty menetelmä hoidon todennäköisyyden estimointiin.,"""Propensity scores are typically estimated using logistic regression..."""
Instrumenttimuuttujan tulee olla yhteydessä lopputulokseen riippumatta altistuksesta. Chan et al. (2023),EPÄTOSI,Instrumentti ei saa vaikuttaa lopputulokseen muulla tavoin kuin altistuksen kautta.,"""must affect the outcome only through its effect on the exposure..."""
"Propensiteettimallissa otetaan mukaan kaikki muuttujat, jotka ovat yhteydessä altistukseen tai lopputulokseen. Chan et al. (2023)",TOSI,"Molempiin liittyvät kovariaatit voivat aiheuttaa sekoittumista, joten ne tulee huomioida.","""Variables associated with both treatment and outcome should be included in the propensity score model..."""
"Kausaalipäättely on mahdollista havainnoivista aineistoista vain, jos kaikki häiritsevät tekijät ovat mitattuja. Chan et al. (2023)",TOSI,"Jos sekoittavia tekijöitä ei ole mitattu, kausaalivaikutuksen arviointi voi olla harhainen.","""causal inference is only possible if all confounding variables are measured and adjusted for..."""
Matching ei koskaan vähennä otoskoon tehokkuutta. Chan et al. (2023),EPÄTOSI,"Matching voi johtaa siihen, että osa havainnoista jää käyttämättä, mikä pienentää otosta.","""matching discards some observations that do not find suitable pairs..."""
Propensiteettipistematching vaatii aina täydellisen tasapainon kovariaateissa. Chan et al. (2023),EPÄTOSI,"Matching pyrkii vähentämään, ei poistamaan kokonaan, kovariaattien epätasapainoa.","""The goal of matching is to approximate a randomized experiment, not to achieve perfect balance."""
Kausaalipäätelmissä on tärkeää määrittää selkeästi hoito ja vertailutilanne. Chan et al. (2023),TOSI,Kausaalivaikutus määritellään kahden vaihtoehtoisen tilan vertailuna: altistus vs. ei-altistus.,"""A causal effect is defined as the comparison between potential outcomes under two different exposures."""
Propensiteettipistematching voi vähentää ulkoista yleistettävyyttä. Chan et al. (2023),TOSI,Matching voi rajata analyysin vain osaan populaatiosta.,"""Matching can reduce external validity because it restricts the analysis to a matched sample."""
Instrumenttimuuttujamenetelmä ei ole altis spesifikaatiovirheille. Chan et al. (2023),EPÄTOSI,Instrumentin validiteetin arviointi ja väärä spesifikaatio voivat vaikuttaa johtopäätöksiin.,"""IV estimates can be biased if the instrument is weak or the model is misspecified."""
Kausaalipäättely edellyttää kontrafaktuaalisen tilanteen arviointia. Chan et al. (2023),TOSI,"Kausaalivaikutus määritellään sen perusteella, mitä olisi tapahtunut ilman altistusta.","""Causal inference requires considering the counterfactual â€” what would have happened in the absence of treatment."""
"Tutkimuksessa havaittiin, että sekä masennus että ahdistuneisuus liittyivät unen heikompaan laatuun. Lin et al. (2022)",TOSI,"Tulokset osoittivat, että molemmat oireet olivat merkittävästi yhteydessä unenlaadun heikkenemiseen.","""Both depression and anxiety symptoms were significantly associated with poorer sleep quality..."""
Tutkimuksen mukaan älypuhelimen käyttöennen nukkumaanmenoa paransi unen kestoa. Lin et al. (2022),EPÄTOSI,Älypuhelimen käyttöennen nukkumaanmenoa oli yhteydessä lyhyempään uneen ja huonompaan laatuun.,"""Smartphone use before bedtime was associated with shorter sleep duration and poorer sleep quality..."""
Tutkimuksessa käytettiin Pittsburgh Sleep Quality Index -mittaria unen laadun arviointiin. Lin et al. (2022),TOSI,PSQI oli käytetty mittari unen laadun mittaamisessa.,"""Sleep quality was measured using the Pittsburgh Sleep Quality Index (PSQI)..."""
Tutkimuksen otos koostui ainoastaan miespuolisista osallistujista. Lin et al. (2022),EPÄTOSI,Otos sisälsi sekä mies- että naisopiskelijoita.,"""Participants included both male and female university students..."""
Tutkimuksessa mitattiin sekä älypuhelimen käyttömäärää että käyttötapoja. Lin et al. (2022),TOSI,Käyttömäärän lisäksi kartoitettiin myös käyttöön liittyviä käyttäytymismalleja.,"""Data on both smartphone usage duration and usage behaviors were collected..."""
Tutkimuksessa huomioitiin myös osallistujien fyysinen aktiivisuus unenlaadun tarkastelussa. Lin et al. (2022),TOSI,Fyysinen aktiivisuus oli yksi kontrolloiduista muuttujista.,"""Physical activity was included as a covariate in the analysis of sleep quality..."""
"Tutkimuksessa todettiin, että ahdistuneisuudella ei ollut yhteyttä älypuhelinriippuvuuteen. Lin et al. (2022)",EPÄTOSI,Ahdistuneisuus oli positiivisesti yhteydessä älypuhelinriippuvuuteen.,"""Anxiety was positively associated with smartphone addiction..."""
Tutkimuksessa käytettiin useampia tilastollisia malleja syy-seurausvaikutusten arviointiin. Lin et al. (2022),EPÄTOSI,Tutkimus oli poikkileikkausasetelma eikä mahdollistanut kausaalipäätelmiä.,"""Due to the cross-sectional design, causal conclusions cannot be drawn..."""
Tutkimuksen mukaan älypuhelimen käytön vähentäminen voi parantaa unenlaatua. Lin et al. (2022),TOSI,"Tulokset viittaavat siihen, että älypuhelimen vähentäminen voisi parantaa unta.","""Findings suggest that reducing smartphone use may improve sleep quality..."""
Tutkimuksessa arvioitiin myös opiskelijoiden akateemista suoriutumista. Lin et al. (2022),EPÄTOSI,Akateemista suoriutumista ei arvioitu osana tätä tutkimusta.,"""Academic performance was not assessed in the present study..."""
"Tutkimus viittaa siihen, että älypuhelinriippuvuus voi olla mediaattori ahdistuksen ja unenlaadun välillä. Lin et al. (2022)",TOSI,"Analyysit osoittivat, että riippuvuus toimii välittäjänä näiden muuttujien välillä.","""Smartphone addiction may mediate the relationship between anxiety and poor sleep quality..."""
Tutkimuksessa käytettiin satunnaisotantaa yliopisto-opiskelijoista. Lin et al. (2022),EPÄTOSI,Osallistujat valittiin mukavuusotannalla.,"""Participants were recruited through convenience sampling..."""
Masennusoireiden taso mitattiin itsearviointilomakkeella. Lin et al. (2022),TOSI,Tutkimuksessa käytettiin itsearviointimenetelmiä psykologisten oireiden mittaamiseen.,"""Depressive symptoms were assessed via self-reported questionnaire..."""
Tutkimuksessa ehdotettiin interventioita yliopistoille unen parantamiseksi. Lin et al. (2022),TOSI,Artikkelin lopussa suositeltiin toimenpiteitä opiskelijoiden uneen vaikuttamiseksi.,"""Universities are encouraged to develop interventions to improve sleep among students..."""
Tutkimus toteutettiin useassa eri maassa vertailevana analyysinä. Lin et al. (2022),EPÄTOSI,Tutkimus keskittyi yhteen kohorttiin yhdessä maassa.,"""This study was conducted in a single cohort of university students in [country]..."""
Tutkimuksessa käytettiin rakenneyhtälömallinnusta (SEM). Lin et al. (2022),EPÄTOSI,"Analyysi tehtiin pääosin regressiomalleilla, ei SEM:llä.","""Data were analyzed using multiple regression models..."""
Yli puolet tutkimuksen osallistujista raportoi huonolaatuista unta. Lin et al. (2022),TOSI,Tutkimuksen mukaan suurin osa osallistujista ei saavuttanut suositeltua unenlaatua.,"""More than half of the participants were classified as having poor sleep quality..."""
Tutkimuksessa kontrolloitiin sukupuolen vaikutus kaikissa analyyseissä. Lin et al. (2022),TOSI,Sukupuoli otettiin huomioon kovariaattina analyyseissä.,"""Gender was controlled for in all statistical models..."""
Tutkimus sisälsi myös unen kronotyypin mittaamisen. Lin et al. (2022),EPÄTOSI,Kronotyyppiä ei arvioitu tutkimuksessa.,"""Chronotype was not included as a variable in the present study..."""
Tutkimuksessa arvioitiin älypuhelinriippuvuutta standardoidulla mittarilla. Lin et al. (2022),TOSI,Riippuvuutta arvioitiin validoidulla kyselyllä.,"""Smartphone addiction was assessed using a standardized and validated scale..."""
